refyear,flowcode,partnerdesc,cmdcode,cmddesc,primaryvalue,continent,partner_lat,partner_lon
2010,X,French Polynesia,2,Meat & offal,430108.83988030005,Other,0.0,0.0
2010,X,Gabon,2,Meat & offal,384022.7474671,Other,0.0,0.0
2010,X,Georgia,2,Meat & offal,23283.2342494,Other,0.0,0.0
2010,X,Germany,2,Meat & offal,80529609.7230314,Europe,51.2,10.5
2010,X,Germany,5,Other animal products,6451156.220069299,Europe,51.2,10.5
2010,X,Ghana,2,Meat & offal,2011522.3226943002,Africa,0.0,0.0
2010,X,Greece,2,Meat & offal,626050.2913323,Europe,39.1,21.8
2010,X,Greece,5,Other animal products,9955.7970917,Europe,39.1,21.8
2010,X,Estonia,2,Meat & offal,1848840.9189994,Europe,0.0,0.0
2010,X,Finland,2,Meat & offal,1273291.1774964998,Europe,64.0,26.0
2010,X,France,2,Meat & offal,265596605.8480021,Europe,46.2,2.2
2010,X,France,5,Other animal products,1774985.0789607002,Europe,46.2,2.2
2010,X,Benin,2,Meat & offal,1326971.2166557,Other,0.0,0.0
2010,X,Denmark,2,Meat & offal,47936702.6041627,Europe,56.0,10.0
2010,X,Denmark,5,Other animal products,1615796.4103506,Europe,56.0,10.0
2010,X,Comoros,2,Meat & offal,349615.80127720005,Other,0.0,0.0
2010,X,Mayotte (Overseas France),2,Meat & offal,1493501.6350198,Other,0.0,0.0
2010,X,Dem. Rep. of the Congo,2,Meat & offal,29968.470120399998,Other,0.0,0.0
2010,X,Cyprus,2,Meat & offal,319238.0107886,Europe,0.0,0.0
2010,X,Czechia,2,Meat & offal,15841103.9522274,Europe,49.8,15.5
2010,X,Czechia,5,Other animal products,13640.682912700002,Europe,49.8,15.5
2010,X,Central African Rep.,2,Meat & offal,13946.9224408,Other,0.0,0.0
2010,X,Chile,5,Other animal products,40167.4574922,Americas,-35.7,-71.5
2010,X,China,2,Meat & offal,3544144.5953763,Asia,35.9,104.2
2010,X,China,5,Other animal products,299121.25667729997,Asia,35.9,104.2
2010,X,Br. Virgin Isds,2,Meat & offal,89044.735283,Other,0.0,0.0
2010,X,Bulgaria,2,Meat & offal,39776.1505478,Europe,42.7,25.5
2010,X,Canada,2,Meat & offal,573840.4025604,Americas,56.1,-106.3
2010,X,Canada,5,Other animal products,4803.7623658,Americas,56.1,-106.3
2010,X,Brazil,2,Meat & offal,102350.1557822,Americas,-14.2,-51.9
2010,X,Austria,2,Meat & offal,660525.2902474001,Europe,47.5,14.6
